Job Title,Salary Estimate,Salary Estimate min,Salary Estimate max,Rating,Company Name,City,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Sr Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.1,Healthfirst,New York, NY,"New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.2,ManTech,Chantilly, VA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.8,Analysis Group,Boston, MA,"Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.5,INFICON,Newton, MA,"Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,2.9,Affinity Solutions,New York, NY,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.2,HG Insights,Santa Barbara, CA,"Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist / Machine Learning Expert,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.9,Novartis,Cambridge, MA,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.5,iRobot,Bedford, MA,"Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD)
Staff Data Scientist - Analytics,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.4,Intuit - Data,San Diego, CA,"Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.6,XSELL Technologies,Chicago, IL,"Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.5,Novetta,Herndon, VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.7,1904labs,Saint Louis, MO,"Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Data Scientist - Statistics, Early Career",$137K-$171K (Glassdoor est.),137000.0,171000.0,3.7,PNNL,Richland, WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
Data Modeler,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.1,Old World Industries,Northbrook, IL,"Northbrook, IL",201 to 500 employees,1973,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD)
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.4,Mathematica Policy Research,Washington, DC,"Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Experienced Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.4,Guzman & Griffin Technologies (GGTI),Washington, DC,"Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist - Contract,$137K-$171K (Glassdoor est.),137000.0,171000.0,4.1,Upside Business Travel,Remote, DC,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$137K-$171K (Glassdoor est.),137000.0,171000.0,3.5,Buckman,Memphis, TN,"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD)
